iter	RMSE
0	16.22307071
1	16.17619455
2	16.1298945
3	16.08372426
4	16.03794379
5	15.99168171
6	15.94588261
7	15.90013105
8	15.85470725
9	15.80935895
10	15.76428795
11	15.71920587
12	15.67402824
13	15.62927461
14	15.58467832
15	15.54012131
16	15.49586185
17	15.45179983
18	15.40795154
19	15.36410227
20	15.32016304
21	15.27660084
22	15.23305685
23	15.18962018
24	15.14619464
25	15.10309898
26	15.0597886
27	15.01691191
28	14.97418439
29	14.93168096
30	14.88901003
31	14.84666212
32	14.80447186
33	14.76241596
34	14.72040098
35	14.67839712
36	14.63675933
37	14.59489577
38	14.55367781
39	14.51206101
40	14.47090047
41	14.42971315
42	14.38888644
43	14.34795946
44	14.30698016
45	14.26634062
46	14.22588749
47	14.18534567
48	14.14511408
49	14.10499277
50	14.0649865
51	14.02513227
52	13.98553802
53	13.94600319
54	13.90652325
55	13.86714
56	13.82783074
57	13.78860977
58	13.74966887
59	13.71090058
60	13.67228618
61	13.63313202
62	13.59459833
63	13.55630769
64	13.51800866
65	13.47934189
66	13.44132449
67	13.40334712
68	13.36565078
69	13.32812796
70	13.29095007
71	13.25320507
72	13.21579268
73	13.17844996
74	13.14124784
75	13.10430004
76	13.06751186
77	13.03060595
78	12.99406308
79	12.95699508
80	12.92054707
81	12.88419285
82	12.84789474
83	12.81184834
84	12.77575538
85	12.73992652
86	12.70388353
87	12.66824918
88	12.63271156
89	12.59692974
90	12.56172527
91	12.52631635
92	12.49123254
93	12.45623616
94	12.42136469
95	12.38668254
96	12.352102
97	12.31745391
98	12.28262977
99	12.24836124
100	12.21416602
101	12.18019203
102	12.14588421
103	12.11197273
104	12.07832843
105	12.04466139
106	12.01112215
107	11.97787544
108	11.94467303
109	11.91152589
110	11.87843555
111	11.84512366
112	11.8123877
113	11.77932307
114	11.74662669
115	11.71404226
116	11.68172495
117	11.64930003
118	11.61697472
119	11.5848839
120	11.55285905
121	11.52077132
122	11.48886426
123	11.45714312
124	11.42549172
125	11.39326782
126	11.36172764
127	11.33018176
128	11.29895545
129	11.26769604
130	11.23644841
131	11.20544412
132	11.17451086
133	11.14377607
134	11.11307224
135	11.08235987
136	11.05187954
137	11.02142129
138	10.99103633
139	10.96032807
140	10.93011737
141	10.89990037
142	10.86995547
143	10.8402774
144	10.81066577
145	10.78122285
146	10.75172093
147	10.7220898
148	10.6926929
149	10.66348731
150	10.63444735
151	10.60516075
152	10.57602977
153	10.54651496
154	10.51771098
155	10.4890233
156	10.46025497
157	10.43099636
158	10.40186524
159	10.37339718
160	10.34518036
161	10.31688234
162	10.28869322
163	10.26070478
164	10.23289704
165	10.20475264
166	10.17693935
167	10.14925629
168	10.12158788
169	10.09405696
170	10.06646718
171	10.03919371
172	10.01198027
173	9.984798879
174	9.957388793
175	9.930176006
176	9.903249728
177	9.876263303
178	9.849488755
179	9.822838317
180	9.796462643
181	9.770029521
182	9.743380055
183	9.716879343
184	9.690763377
185	9.66451787
186	9.638491626
187	9.612537242
188	9.586540698
189	9.56064488
190	9.534951728
191	9.509297525
192	9.483731423
193	9.458244004
194	9.433009251
195	9.407013582
196	9.381739167
197	9.356235471
198	9.330968017
199	9.305631528
200	9.280285662
201	9.255515434
202	9.230712958
203	9.205866032
204	9.181175345
205	9.15682972
206	9.131994588
207	9.107616389
208	9.083483811
209	9.059462241
210	9.035357451
211	9.011343528
212	8.987421904
213	8.96349314
214	8.939423003
215	8.915549652
216	8.891731498
217	8.868281801
218	8.844805007
219	8.820939219
220	8.79694549
221	8.773532422
222	8.750227701
223	8.727160194
224	8.704175323
225	8.681141916
226	8.658280599
227	8.635662715
228	8.612835923
229	8.590360425
230	8.567814712
231	8.545227039
232	8.522685751
233	8.500283377
234	8.478101669
235	8.455603108
236	8.433553926
237	8.41149007
238	8.388942694
239	8.366310759
240	8.344557138
241	8.32213966
242	8.300351721
243	8.278616975
244	8.256957732
245	8.235269165
246	8.213591222
247	8.192231603
248	8.170439289
249	8.14916484
250	8.12797037
251	8.106246732
252	8.085246183
253	8.064399388
254	8.043497056
255	8.022756976
256	8.002029739
257	7.981424538
258	7.960591535
259	7.940066279
260	7.919627813
261	7.898765673
262	7.878541782
263	7.858242298
264	7.837972242
265	7.817899883
266	7.797680724
267	7.777612343
268	7.757678724
269	7.737832408
270	7.718055791
271	7.697893884
272	7.678287478
273	7.658495369
274	7.639008621
275	7.619324626
276	7.599701426
277	7.580392777
278	7.560884384
279	7.541556776
280	7.522357653
281	7.503319039
282	7.484266201
283	7.465326449
284	7.446570871
285	7.427540121
286	7.407761315
287	7.388784215
288	7.369502159
289	7.350186041
290	7.331412575
291	7.312882834
292	7.294497057
293	7.276011488
294	7.257600135
295	7.239008387
296	7.220879531
297	7.202889371
298	7.184922357
299	7.166016986
300	7.147483068
301	7.129245335
302	7.110807253
303	7.093186765
304	7.074930844
305	7.057332267
306	7.039886869
307	7.022438583
308	7.004766007
309	6.986618391
310	6.969396123
311	6.952103479
312	6.934849087
313	6.91708624
314	6.900070817
315	6.88253857
316	6.865601499
317	6.848020476
318	6.831205593
319	6.813749916
320	6.797018281
321	6.779665215
322	6.762959853
323	6.746323071
324	6.729608688
325	6.713291759
326	6.696180197
327	6.679611433
328	6.663312057
329	6.646863762
330	6.630768362
331	6.613892791
332	6.597842954
333	6.581961561
334	6.565826011
335	6.550022409
336	6.533691215
337	6.517950974
338	6.502202928
339	6.485395045
340	6.469333024
341	6.452943378
342	6.437457221
343	6.42129644
344	6.405201372
345	6.389850737
346	6.373864139
347	6.358001727
348	6.342764653
349	6.327297179
350	6.311453906
351	6.296331209
352	6.281342194
353	6.266398272
354	6.251553559
355	6.236744318
356	6.221762781
357	6.206992244
358	6.191652459
359	6.177070972
360	6.162531211
361	6.147114667
362	6.131835512
363	6.116730631
364	6.10205648
365	6.08762987
366	6.073379685
367	6.059138229
368	6.044140029
369	6.030035673
370	6.016042269
371	6.001969637
372	5.987248727
373	5.972509311
374	5.957600655
375	5.943839483
376	5.930102474
377	5.91574121
378	5.901874849
379	5.888184235
380	5.873953738
381	5.859771559
382	5.84622926
383	5.832765771
384	5.819194511
385	5.805988397
386	5.792478554
387	5.778177688
388	5.76498028
389	5.751655908
390	5.738693774
391	5.725623944
392	5.712335584
393	5.698370151
394	5.684625462
395	5.671066238
396	5.657539964
397	5.644116835
398	5.63145436
399	5.618587198
400	5.605977481
401	5.592568602
402	5.579403219
403	5.565947628
404	5.553209359
405	5.540161083
406	5.526768118
407	5.514282714
408	5.501999973
409	5.489243772
410	5.4763903
411	5.464280053
412	5.451346866
413	5.43929287
414	5.427108928
415	5.4149976
416	5.402379521
417	5.389565847
418	5.376783564
419	5.364199988
420	5.352257025
421	5.340096239
422	5.327675401
423	5.315213004
424	5.30352453
425	5.291132823
426	5.278762827
427	5.267222929
428	5.254927858
429	5.242811733
430	5.231503222
431	5.219396421
432	5.207047907
433	5.195868656
434	5.18388298
435	5.171943798
436	5.160262246
437	5.148395996
438	5.137401202
439	5.125670747
440	5.113733923
441	5.102034744
442	5.090503594
443	5.079705664
444	5.068140006
445	5.056796822
446	5.046165072
447	5.034637057
448	5.023619029
449	5.012375998
450	5.00101788
451	4.989899304
452	4.97943255
453	4.968243502
454	4.957087351
455	4.94603919
456	4.935051992
457	4.924659265
458	4.913693986
459	4.903298184
460	4.892943244
461	4.88277453
462	4.872514449
463	4.861925242
464	4.851196833
465	4.840507887
466	4.829961675
467	4.819370277
468	4.809524052
469	4.798936444
470	4.788387728
471	4.778705218
472	4.769031043
473	4.759289897
474	4.749520577
475	4.739138681
476	4.728816736
477	4.718212284
478	4.708683915
479	4.699048316
480	4.689712906
481	4.680041358
482	4.669997413
483	4.660003361
484	4.65006717
485	4.640033406
486	4.630020097
487	4.620167851
488	4.610291975
489	4.600433791
490	4.59137012
491	4.581546088
492	4.572384968
493	4.562613639
494	4.552856447
495	4.543962622
496	4.534398776
497	4.524882166
498	4.516115614
499	4.506483093
500	4.496926332
501	4.488181888
502	4.478651881
503	4.469220421
504	4.459985624
505	4.450583893
506	4.441258915
507	4.431930599
508	4.422953332
509	4.414167926
510	4.404999565
511	4.395878009
512	4.386813719
513	4.377793295
514	4.36886586
515	4.359908511
516	4.350949973
517	4.342023616
518	4.333914243
519	4.325111835
520	4.317025733
521	4.308884272
522	4.300083286
523	4.291992995
524	4.283997527
525	4.275412095
526	4.266685894
527	4.257986442
528	4.249316983
529	4.240821898
530	4.232244474
531	4.224342778
532	4.215899647
533	4.20775309
534	4.199937397
535	4.191662635
536	4.183250124
537	4.175024397
538	4.166768775
539	4.158232069
540	4.150043229
541	4.141850966
542	4.134446646
543	4.127095489
544	4.119607789
545	4.111484145
546	4.1040557
547	4.096027046
548	4.087977922
549	4.080022428
550	4.072653061
551	4.065546573
552	4.057687065
553	4.050063141
554	4.043030085
555	4.03531813
556	4.027554331
557	4.020512874
558	4.013556219
559	4.005561662
560	3.998269364
561	3.991399172
562	3.983780328
563	3.976156052
564	3.968548566
565	3.961056759
566	3.953640192
567	3.946175725
568	3.938766757
569	3.931045177
570	3.923645701
571	3.917080626
572	3.909798535
573	3.903259554
574	3.895986414
575	3.888620321
576	3.881351864
577	3.874767367
578	3.867517608
579	3.860835489
580	3.853703056
581	3.846818374
582	3.839734029
583	3.833485582
584	3.826526481
585	3.820279969
586	3.81388981
587	3.806700315
588	3.799870439
589	3.793087551
590	3.78596808
591	3.779571438
592	3.772627674
593	3.76633536
594	3.75961497
595	3.753462731
596	3.747456849
597	3.740894882
598	3.734318407
599	3.727692731
600	3.721095111
601	3.714468757
602	3.708399159
603	3.702139323
604	3.695709087
605	3.68922743
606	3.68276127
607	3.676398944
608	3.669967554
609	3.663700738
610	3.657081561
611	3.650799815
612	3.644582552
613	3.638878607
614	3.632691359
615	3.626411729
616	3.620121925
617	3.614192539
618	3.607911095
619	3.60188811
620	3.595757703
621	3.589427711
622	3.583468039
623	3.577427329
624	3.571478381
625	3.565649027
626	3.559835628
627	3.553841291
628	3.548361078
629	3.542340498
630	3.536468497
631	3.530691872
632	3.524922173
633	3.519689957
634	3.51435326
635	3.509112121
636	3.503048078
637	3.49725023
638	3.491525941
639	3.485766271
640	3.480093836
641	3.474427979
642	3.468761053
643	3.463847493
644	3.458144286
645	3.452613831
646	3.446880192
647	3.441461293
648	3.43600044
649	3.43035944
650	3.424922436
651	3.419668006
652	3.414343492
653	3.409336628
654	3.403807409
655	3.398345716
656	3.393602691
657	3.388325891
658	3.383072785
659	3.378524598
660	3.373256359
661	3.368089471
662	3.363146416
663	3.357998702
664	3.352818809
665	3.347748122
666	3.343015572
667	3.337736107
668	3.332718197
669	3.327421415
670	3.322691558
671	3.317977084
672	3.31306563
673	3.308027282
674	3.303404024
675	3.298201442
676	3.293443213
677	3.288313929
678	3.28339241
679	3.278349162
680	3.273941378
681	3.26927445
682	3.264522131
683	3.259702855
684	3.254943591
685	3.250114135
686	3.245386594
687	3.240696563
688	3.236557511
689	3.231951369
690	3.227952615
691	3.223330606
692	3.218679785
693	3.214812478
694	3.21011302
695	3.205590196
696	3.201202136
697	3.196617656
698	3.192301386
699	3.187909779
700	3.183774743
701	3.17931659
702	3.175375789
703	3.171081417
704	3.166653623
705	3.162651314
706	3.158387663
707	3.154005922
708	3.149660552
709	3.145195777
710	3.140901387
711	3.136725427
712	3.132201233
713	3.127754679
714	3.123513755
715	3.119418488
716	3.115159732
717	3.111097026
718	3.106958863
719	3.103397684
720	3.099293357
721	3.095115629
722	3.091003105
723	3.086965964
724	3.082912512
725	3.07913166
726	3.075171106
727	3.070942937
728	3.067282025
729	3.063322382
730	3.06003402
731	3.056097275
732	3.052625512
733	3.048794854
734	3.044870305
735	3.041058253
736	3.036953668
737	3.033264878
738	3.029309907
739	3.025419505
740	3.021440437
741	3.017751489
742	3.014063152
743	3.010090198
744	3.006574897
745	3.003205598
746	2.999567061
747	2.995979876
748	2.992375406
749	2.98877804
750	2.98524394
751	2.981600431
752	2.978059886
753	2.974869989
754	2.971329837
755	2.96800498
756	2.964760483
757	2.961300972
758	2.957855908
759	2.954324238
760	2.950631447
761	2.947156636
762	2.943527981
763	2.940048883
764	2.936670962
765	2.933383451
766	2.9300595
767	2.926804723
768	2.923411965
769	2.920271917
770	2.916972583
771	2.913692919
772	2.910349059
773	2.907079282
774	2.903935206
775	2.900786967
776	2.89782595
777	2.894436495
778	2.89108792
779	2.887946272
780	2.885056028
781	2.881976716
782	2.878775246
783	2.875669738
784	2.872443784
785	2.869287415
786	2.86620632
787	2.863198543
788	2.860447772
789	2.857425986
790	2.854309959
791	2.851274495
792	2.848189189
793	2.845102328
794	2.842014692
795	2.839388774
796	2.836258607
797	2.833278489
798	2.830441359
799	2.827463969
800	2.824414005
801	2.821532862
802	2.818658271
803	2.815986654
804	2.813646697
805	2.810775244
806	2.807924933
807	2.805201383
808	2.802406941
809	2.799669822
810	2.79680519
811	2.794020887
812	2.791285001
813	2.788690731
814	2.786014255
815	2.783365443
816	2.780607891
817	2.777907013
818	2.775547837
819	2.77271927
